Date,Hour,MachineID,ProductID,LocationID,PlannedUnits,ActualUnits,DowntimeMinutes,DefectUnits
2025-01-01,1,M01,P03,L04,121,132,1,7
2025-01-01,1,M02,P02,L04,163,139,20,0
2025-01-01,1,M03,P02,L04,121,187,24,0
2025-01-01,1,M04,P03,L03,141,171,27,2
2025-01-01,1,M05,P04,L04,163,82,4,2
2025-01-01,1,M06,P01,L05,138,97,3,8
2025-01-01,1,M07,P02,L04,108,169,20,1
2025-01-01,1,M08,P04,L04,159,150,11,7
2025-01-01,1,M09,P01,L03,135,129,7,3
2025-01-01,1,M10,P02,L02,103,133,28,1
2025-01-01,2,M01,P04,L02,133,153,29,3
2025-01-01,2,M02,P01,L04,161,119,20,1
2025-01-01,2,M03,P02,L05,188,139,27,8
2025-01-01,2,M04,P05,L05,164,168,6,8
2025-01-01,2,M05,P04,L01,107,167,10,2
2025-01-01,2,M06,P03,L01,134,112,26,4
2025-01-01,2,M07,P02,L02,140,107,6,8
2025-01-01,2,M08,P02,L04,132,127,22,6
2025-01-01,2,M09,P03,L05,143,183,21,2
2025-01-01,2,M10,P03,L01,146,157,2,0
2025-01-01,3,M01,P02,L05,113,182,26,8
2025-01-01,3,M02,P02,L02,176,130,6,0
2025-01-01,3,M03,P05,L04,195,83,29,4
2025-01-01,3,M04,P03,L05,128,115,12,6
2025-01-01,3,M05,P03,L03,185,107,1,9
2025-01-01,3,M06,P01,L05,105,107,27,3
2025-01-01,3,M07,P02,L03,191,168,6,0
2025-01-01,3,M08,P01,L01,126,141,24,3
2025-01-01,3,M09,P01,L05,102,182,5,7
2025-01-01,3,M10,P01,L03,161,116,0,2
2025-01-01,4,M01,P04,L02,123,158,26,5
2025-01-01,4,M02,P04,L01,161,192,25,3
2025-01-01,4,M03,P02,L04,102,192,4,0
2025-01-01,4,M04,P03,L01,101,81,27,5
2025-01-01,4,M05,P01,L05,100,98,29,1
2025-01-01,4,M06,P04,L05,189,111,5,6
2025-01-01,4,M07,P03,L04,155,96,5,7
2025-01-01,4,M08,P04,L05,197,149,21,0
2025-01-01,4,M09,P04,L01,158,149,15,2
2025-01-01,4,M10,P04,L04,158,115,18,9
2025-01-01,5,M01,P03,L03,119,175,6,3
2025-01-01,5,M02,P01,L01,139,118,17,7
2025-01-01,5,M03,P03,L01,191,136,24,1
2025-01-01,5,M04,P03,L02,106,95,25,8
2025-01-01,5,M05,P04,L04,101,80,15,4
2025-01-01,5,M06,P03,L05,108,184,2,2
2025-01-01,5,M07,P04,L03,123,133,23,0
2025-01-01,5,M08,P03,L04,171,115,5,7
2025-01-01,5,M09,P03,L04,188,178,24,1
2025-01-01,5,M10,P02,L02,153,114,15,8
2025-01-01,6,M01,P01,L04,167,112,13,4
2025-01-01,6,M02,P03,L04,116,112,15,2
2025-01-01,6,M03,P03,L05,153,87,26,1
2025-01-01,6,M04,P01,L05,127,190,0,4
2025-01-01,6,M05,P05,L04,147,98,3,2
2025-01-01,6,M06,P01,L01,143,171,29,4
2025-01-01,6,M07,P04,L03,136,103,28,0
2025-01-01,6,M08,P03,L05,159,176,19,4
2025-01-01,6,M09,P03,L01,117,104,9,5
2025-01-01,6,M10,P03,L02,145,103,17,5
2025-01-01,7,M01,P03,L02,101,169,16,7
2025-01-01,7,M02,P01,L01,142,197,15,6
2025-01-01,7,M03,P02,L05,125,178,17,8
2025-01-01,7,M04,P04,L05,106,136,3,3
2025-01-01,7,M05,P04,L01,186,94,27,1
2025-01-01,7,M06,P03,L02,124,137,29,5
2025-01-01,7,M07,P02,L02,185,128,19,9
2025-01-01,7,M08,P04,L03,196,87,20,4
2025-01-01,7,M09,P05,L04,195,195,29,2
2025-01-01,7,M10,P05,L04,129,98,16,7
2025-01-01,8,M01,P04,L03,157,134,25,4
2025-01-01,8,M02,P05,L02,161,102,8,4
2025-01-01,8,M03,P02,L01,100,190,1,5
2025-01-01,8,M04,P05,L01,100,95,28,6
2025-01-01,8,M05,P05,L05,166,155,25,2
2025-01-01,8,M06,P01,L05,128,157,27,4
2025-01-01,8,M07,P04,L01,168,155,15,9
2025-01-01,8,M08,P05,L02,138,179,0,4
2025-01-01,8,M09,P02,L02,168,179,1,3
2025-01-01,8,M10,P02,L02,118,137,0,7
2025-01-01,9,M01,P05,L05,103,95,23,6
2025-01-01,9,M02,P01,L02,191,111,26,3
2025-01-01,9,M03,P02,L04,134,112,0,2
